Time,linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
1731131413,0,0,0,0,0,0
1731131413,0.236842111,0,0,0,0,-0.173684224
1731131413,0.236842111,0,0,0,0,-0.173684224
1731131413,0.486000001,0,0,0,0,-0.252631366
1731131413,0.486000001,0,0,0,0,-0.252631366
1731131413,0.736000001,0,0,0,0,-0.236841545
1731131413,0.736000001,0,0,0,0,-0.236841545
1731131413,0.986000001,0,0,0,0,-0.252630472
1731131413,0.986000001,0,0,0,0,-0.252630472
1731131414,1.236000061,0,0,0,0,-0.205261573
1731131414,1.236000061,0,0,0,0,-0.205261573
1731131414,1.222842097,0,0,0,0,-0.189471528
1731131414,1.222842097,0,0,0,0,-0.189471528
1731131414,1.235157847,0,0,0,0,-0.173681542
1731131414,1.235157847,0,0,0,0,-0.173681542
1731131414,1.22184217,0,0,0,0,-0.157891527
1731131414,1.22184217,0,0,0,0,-0.157891527
1731131414,1.207842112,0,0,0,0,-0.110522591
1731131414,1.207842112,0,0,0,0,-0.110522591
1731131414,1.220157862,0,0,0,0,-0.094732538
1731131414,1.220157862,0,0,0,0,-0.094732538
1731131414,1.180526376,0,0,0,0,-0.047363579
1731131414,1.180526376,0,0,0,0,-0.047363579
1731131414,1.245789409,0,0,0,0,-0.06315247
1731131414,1.23184216,0,0,0,0,-0.078941472
1731131414,1.152894735,0,0,0,0,-0.047362525
1731131414,1.152894735,0,0,0,0,-0.047362525
1731131414,1.24410522,0,0,0,0,-0.031572524
1731131414,1.217789412,0,0,0,0,-0.031572524
1731131415,1.151894689,0,0,0,0,-0.047361474
1731131415,1.151894689,0,0,0,0,-0.047361474
1731131415,1.216789484,0,0,0,0,0.031586368
1731131415,1.216789484,0,0,0,0,0.031586368
1731131415,1.123894691,0,0,0,0,0.047375482
1731131415,1.123894691,0,0,0,0,0.047375482
1731131415,1.215105295,0,0,0,0,0.031585533
1731131415,1.215105295,0,0,0,0,0.031585533
1731131415,1.122894764,0,0,0,0,0.047374468
1731131415,1.122894764,0,0,0,0,0.047374468
1731131415,1.214105248,0,0,0,0,0.03158452
1731131415,1.214105248,0,0,0,0,0.03158452
1731131415,1.121894717,0,0,0,0,0.047373485
1731131415,1.121894717,0,0,0,0,0.047373485
1731131415,1.213105321,0,0,0,0,0.031583536
1731131415,1.213105321,0,0,0,0,0.031583536
1731131415,1.147210598,0,0,0,0,0
1731131415,1.147210598,0,0,0,0,0
1731131415,1.212789416,0,0,0,0,0.078947373
1731131415,1.212789416,0,0,0,0,0.078947373
1731131416,1.119894743,0,0,0,0,0.063157521
1731131416,1.119894743,0,0,0,0,0.063157521
1731131416,1.211105227,0,0,0,0,0.047367524
1731131416,1.197842121,0,0,0,0,0.063156463
1731131416,1.145210505,0,0,0,0,0.063156463
1731131416,1.145210505,0,0,0,0,0.063156463
1731131416,1.184473634,0,0,0,0,0.047366519
1731131416,1.184473634,0,0,0,0,0.047366519
1731131416,1.144526362,0,0,0,0,0.031576533
1731131416,1.144526362,0,0,0,0,0.031576533
1731131416,1.183473706,0,0,0,0,0.015786519
1731131416,1.183473706,0,0,0,0,0.015786519
1731131416,1.117210507,0,0,0,0,0.031575482
1731131416,1.117210507,0,0,0,0,0.031575482
1731131416,1.235421062,0,0,0,0,0.015785536
1731131416,1.235421062,0,0,0,0,0.015785536
1731131416,1.116578937,0,0,0,0,0.031574469
1731131416,1.116578937,0,0,0,0,0.031574469
1731131416,1.234421134,0,0,0,0,0.015784523
1731131416,1.234421134,0,0,0,0,0.015784523
1731131417,1.11557889,0,0,0,0,-5.46E-06
1731131417,1.11557889,0,0,0,0,-5.46E-06
1731131417,1.233421087,0,0,0,0,0
1731131417,1.233421087,0,0,0,0,0
1731131417,1.114578962,0,0,0,0,0
1731131417,1.114578962,0,0,0,0,0
1731131417,1.232421041,0,0,0,0,0.015789473
1731131417,1.232421041,0,0,0,0,0
1731131417,1.139894724,0,0,0,0,-4.72E-07
1731131417,1.139894724,0,0,0,0,-4.72E-07
1731131417,1.204789519,0,0,0,0,0
1731131417,1.204789519,0,0,0,0,0
1731131417,1.138210535,0,0,0,0,0
1731131417,1.138210535,0,0,0,0,0
1731131417,1.230105281,0,0,0,0,0
1731131417,1.230105281,0,0,0,0,0
1731131417,1.111578941,0,0,0,0,0
1731131417,1.111578941,0,0,0,0,0
1731131417,1.22942102,0,0,0,0,-0.015789473
1731131417,1.22942102,0,0,0,0,-0.015789473
1731131418,1.110578895,0,0,0,0,-0.031578477
1731131418,1.110578895,0,0,0,0,-0.031578477
1731131418,1.228421092,0,0,0,0,0
1731131418,1.241157889,0,0,0,0,0
1731131418,1.109578967,0,0,0,0,0
1731131418,1.109578967,0,0,0,0,0
1731131418,1.227421045,0,0,0,0,-0.015789473
1731131418,1.227421045,0,0,0,0,-0.015789473
1731131418,1.161210537,0,0,0,0,0
1731131418,1.161210537,0,0,0,0,0
1731131418,1.147842169,0,0,0,0,-0.015789473
1731131418,1.147842169,0,0,0,0,-0.015789473
1731131418,1.239105225,0,0,0,0,-0.031578477
1731131418,1.239105225,0,0,0,0,-0.031578477
1731131418,1.120578885,0,0,0,0,-0.015788516
1731131418,1.120578885,0,0,0,0,-0.015788516
1731131418,1.264736891,0,0,0,0,-0.031577479
1731131418,1.264736891,0,0,0,0,-0.031577479
1731131418,1.14557898,0,0,0,0,-0.015787533
1731131418,1.14557898,0,0,0,0,-0.015787533
1731131419,1.158157825,0,0,0,0,-0.031576466
1731131419,1.158157825,0,0,0,0,-0.031576466
1731131419,1.065894723,0,0,0,0,-0.015786519
1731131419,1.065894723,0,0,0,0,-0.015786519
1731131419,1.051842213,0,0,0,0,-0.031575482
1731131419,1.037842155,0,0,0,0,-0.015785536
1731131419,0.932578921,0,0,0,0,-0.015785536
1731131419,0.932578921,0,0,0,0,-0.015785536
1731131419,0.892526269,0,0,0,0,-0.031574469
1731131419,0.892526269,0,0,0,0,-0.031574469
1731131419,0.79989475,0,0,0,0,-0.015784523
1731131419,0.79989475,0,0,0,0,-0.015784523
1731131419,0.759526312,0,0,0,0,-0.031573486
1731131419,0.772157907,0,0,0,0,-0.015783539
1731131419,0.666894734,0,0,0,0,-0.015783539
1731131419,0.666894734,0,0,0,0,-0.015783539
1731131419,0.652842104,0,0,0,0,-0.031572472
1731131419,0.652842104,0,0,0,0,-0.031572472
1731131419,0.586210549,0,0,0,0,-0.047361474
1731131419,0.586210549,0,0,0,0,-0.047361474
1731131420,0.520210564,0,0,0,0,-0.031571526
1731131420,0.520210564,0,0,0,0,-0.031571526
1731131420,0.506842077,0,0,0,0,-0.047360476
1731131420,0.506842077,0,0,0,0,-0.047360476
1731131420,0.440210521,0,0,0,0,-0.06314946
